# AUDITED_CONFIGS.tsv — the ONLY trustworthy per-engine faithful-BT record.
# A PF is real only if it appears here with a faithful-tick/engine-faithful harness + date.
# Inline-comment PFs in engine_init.hpp are CLAIMS until matched here (config_drift_guard.py enforces).
# columns: engine <TAB> faithful_pf <TAB> audit_date <TAB> harness <TAB> verdict <TAB> note
# verdict ∈ EDGE | MARGINAL | DEAD | SHADOW-CANDIDATE
NasTurtleD1	1.27	2026-06-22	index_turtle_d1_audit.cpp	MARGINAL	(fleet-audit) 2026-06-22: reproduces 1.26 bull; bull-beta, 2022 NEG (n=5 -$8), ema100+BE_ARM fail to rescue bear. SPX/DJ30 carry the real turtle edge. Shadow-cap.
SpxTurtleD1	1.69	2026-06-18	index_turtle_d1_audit.cpp	EDGE	10yr daily; 2022-bear +92; both WF halves+
Dj30TurtleD1	1.40	2026-06-18	index_turtle_d1_audit.cpp	EDGE	10yr daily; 2022-bear +63; both WF halves+
BigCapMomo	2.30	2026-06-18	bigcap_sweep.cpp	SHADOW-CANDIDATE	LIVE g4/trail5 baseline 60d Yahoo 5m; E_ATR30_x4_mh96 PF4.05 + ride+BE-ratchet PF3.15 beat it; 60d/1-regime → shadow not live-size
GoldOrbRetrace	1.86	2026-06-22	faithful (gold_xregime_recheck)	EDGE	(fleet-audit) CORRECTED 2026-06-22 (was 2.38): faithful 1.86 on real gold m5 2yr both-WF-halves+ (1.92/1.80) at IBKR cost; bull-only. '3x-cost robust' tag FALSE (1.04 @3x, H1 neg). Bear UNTESTABLE (no 2022 m5; m15 corrupts the 30min ORB). Shadow.
NasOrbRetrace	0.55	2026-06-22	faithful	DEAD	(fleet-audit) HARD FAIL fleet-audit 2026-06-22: manifest 1.88 was a PORT ARTIFACT (idealized fills). REAL GoldOrbRetraceEngine NAS cfg = PF0.45-0.59 net-NEG every regime+both-halves. No live instance (printf only) -> stays unwired.
SurvivorPortfolio	1.28	2026-06-22	survivor_faithful_revalidate.cpp	SHADOW-CANDIDATE	(fleet-audit) 2026-06-22: reproduces 1.26-1.28 bull; BULL-ONLY (bear 0.81). USTEC_RSI_N7 = bull-driver/bear-loss. Shadow-cap.
survivor	1.28	2026-06-22	survivor_faithful_revalidate.cpp	SHADOW-CANDIDATE	(fleet-audit) alias SurvivorPortfolio; bull-only (bear 0.81), shadow-cap.
XauThreeBar30m	1.29	2026-06-22	threebar30m_xau_S35P3_backtest.cpp	SHADOW-CANDIDATE	(fleet-audit) CORRECTED 2026-06-22: bull 1.29 reproduces; the 'cross-regime 2022 1.01' was a CONFIG ARTIFACT (bear 0.83-0.93 NEG). Bull-biased, shadow-cap.
GoldVolbrkM30	1.94	2026-06-22	gold_volbrk_m30_revalidate.cpp	SHADOW-CANDIDATE	(fleet-audit) CORRECTED 2026-06-22: bull 1.94 +halves confirmed. My 'bear 2.69' was 2022-23 COMBINED = 2023-CARRIED; ISOLATED 2022 = PF1.17 flat. FAT-TAIL: net-of-top3 negative both regimes. Bull-beta, shadow-cap (not the cross-regime+ I claimed).
XauTf4h	1.58	2026-06-19	xau_tf faithful class-driven audit	EDGE	bull 1.58 / bear 1.13 cross-regime, NOT bull-beta; trail-only (deep-BE cuts profit); M15 cell disabled (bear 0.75)
XauTfD1	1.55	2026-06-22	faithful engine sweep	SHADOW-CANDIDATE	(fleet-audit) CORRECTED 2026-06-22 (was 2.53 = single best cell): real ENSEMBLE PF1.55 bull / 1.38 bear both-WF-halves+ both-regime. UPGRADE FOUND: min_impulse_atr=0.5 improves BOTH (bull->1.60, bear->1.52, -16% maxDD); IMP=1.0 HURTS. Shadow.
FxXrevEurgbp	1.91	2026-06-22	real Dukascopy D1 2019-2026	EDGE	(fleet-audit) 2026-06-22 fleet-audit STRONGEST edge: EURGBP real engine PF1.91 (bull) / bear 3.60, both-regime+both-halves, survives 2x spread. NOTE: AUDNZD sibling OVERSTATED 3.09->1.64 (still positive).
IdxBearShortNas	1.26	2026-06-22	NSXUSD2022+2024-26 real-engine (ibs_real_engine.cpp)	SHADOW-CANDIDATE	(fleet-audit) CORRECTED 2026-06-22: 2022 bear PF1.26 +1061 REPRODUCES (real engine). But the DON48->24 'bull +514/PF1.07' did NOT reproduce on gap-free 2024-26 data (fleet-audit: 0.86-0.90 NEG). NOT all-weather -> BEAR-ONLY, shadow-cap. DON24 still keeps 2022 edge + is harmless.
IdxBearShortSP	1.59	2026-06-22	SPXUSD2022 real-engine (ibs_real_engine.cpp)	SHADOW-CANDIDATE	(fleet-audit) CORRECTED 2026-06-22: 2022 bear PF1.59 +591 reproduces. Bull leg DISCONFIRMED (fleet-audit found /Tick/SPXUSD 2023-26 data -- my 'no data' premise was WRONG -- bull=0.87 both-halves NEG). BEAR-ONLY, shadow, never bull-size.
GoldOrbLondon	1.86	2026-06-22	faithful (gold_xregime_recheck)	EDGE	(fleet-audit) alias GoldOrbRetrace; faithful 1.86 (was 2.38) bull-only, 3x-cost NOT robust, bear untestable. Shadow.
XauSessNypm	1.86	2026-06-22	2yr XAU H1 cost-incl	SHADOW-CANDIDATE	(fleet-audit) CORRECTED 2026-06-22: bull 1.86 (beats manifest 1.57) fat-tail-robust; BOTH bear halves NEG. Bull-beta, shadow-cap.
ConnorsNas	1.94	2026-06-22	freq_dd_frontier.py (next-open daily 2bp)	SHADOW-CANDIDATE	(fleet-audit) CORRECTED 2026-06-22: real engine deployed-cfg PF1.94 both-halves+ (manifest 2.13 = the asym-veto variant). BULL-ONLY: 2022 NEG (SMA200 sits out, 3 trades -516pt); asym-veto does NOT make 2022 positive (contradicts memory). SPX sibling cost-fragile (H1 neg @8pt). Shadow-cap.
ConnorsGer	1.43	2026-06-22	freq_dd_frontier.py (next-open daily 2bp)	MARGINAL	(fleet-audit) 2026-06-22: deployed enhanced-exit PF1.43 (manifest 1.36=replica); bear-positivity rests on n=4 (by-design avoidance). Shadow-cap/small.
XauTf1h	1.54	2026-06-22	xau_tf1h_cell_sweep.cpp (real engine)	SHADOW-CANDIDATE	(fleet-audit) CORRECTED 2026-06-22: manifest 2.13 = CLEAN cfg; LIVE shipped stack = 1.54 bull / 0.66-0.87 bear-NEG. Live impulse=1.0 HURTS. 2022 neg every cfg. Bull-only. INVESTIGATE: drop redundant ER gate OR the impulse, not both.
XauTf2h	1.34	2026-06-22	bracketed (no standalone 2h harness)	SHADOW-CANDIDATE	(fleet-audit) CORRECTED 2026-06-22 (was 1.80 = a bracket-GUESS, no real harness): real 2h cell-sweep built = PF1.34 bull / 0.97 bear-NEG = BULL-ONLY, weaker than 1h/4h. Shadow-cap.
TrendRider	1.43	2026-06-22	trendrider_faithful.cpp (real engine, BULL-GATED)	SHADOW-CANDIDATE	(fleet-audit) 2026-06-22: reproduces 1.43 bull; bull-only by design (gate flat in chop/bear). Cold-boot gate bug found+fixed in audit worktree (unshipped). Shadow.
Rider4h	1.99	2026-06-20	rider_overlay_generic.py (real host trades)	SHADOW-CANDIDATE	MIRROR overlay on XauTrendFollow4h host -- banks favorable excursions, no leg stop = additive. Vault xau_tf_rider_overlay: D1+4h both-halves+ both regimes. 1h-host proxy nearly tripled net both-halves+.
RiderD1	1.99	2026-06-20	rider_overlay_generic.py (real host trades)	SHADOW-CANDIDATE	MIRROR overlay on XauTrendFollowD1 host; additive both-halves+ both regimes (vault). Overlay = incremental-over-host, not standalone PF.
CalendarTom	1.40	2026-06-21	tom_engine_validate.cpp (real engine)	EDGE	turn-of-month last3+first3, 5 idx; ALL PASS both-WF-halves+both-regimes; book PF~1.4 STRONGER in 2022 bear (1.8-2.1)=flows not beta; fills bear-positive gap; shadow
CalendarTomXau	1.63	2026-06-21	tom_gold_test.py (gcf_daily 2010-2026)	EDGE	gold turn-of-month last3+first3; PF1.63 both-WF-halves+ (1.24/2.23) BULL1.61/BEAR1.92 n197 16yr; 6th TOM instance (trade-more extension)
