ts_unix,symbol,side,engine,entry_px,exit_px,pnl,mfe,mae,hold_sec,exit_reason,spread_at_entry,latency_ms,regime
1774572871,XAGUSD,SHORT,GoldSilverLeadLag,67.6315,68.927,-66.485,0,0,4090,FORCE_CLOSE,0.033,3.141,LEAD_LAG
1774584442,GOLD.F,LONG,WickRejection,4429.57,4429.4,-5.85,117.5,-247.5,352,FORCE_CLOSE,0.35,2.694,COMPRESSION
1774598979,GOLD.F,SHORT,GoldFlowEngine,4440.77,4440.12,6,0,0,402,FORCE_CLOSE,0.35,0,FLOW
1774599581,GOLD.F,SHORT,GoldFlowEngine,4436.22,4424.17,291,0,0,2502,FORCE_CLOSE,0.35,0,FLOW
1774602647,US500.F,LONG,VWAPReversion,6509.99,6526.24,84.92,0,0,1221,FORCE_CLOSE,0.81,0,
1774602533,USTEC.F,LONG,VWAPReversion,23729.2,23786.2,97.722,0,0,1335,FORCE_CLOSE,2.71,0,
1774604923,US500.F,LONG,VWAPReversion,6517.88,6518.38,-1.55,0,0,19,FORCE_CLOSE,0.81,0,
1774604783,USTEC.F,LONG,VWAPReversion,23761.5,23754.8,-15.136,0,0,159,FORCE_CLOSE,2.71,0,
1774609279,US500.F,LONG,VWAPReversion,6491.99,6493.24,2.42,0,0,258,FORCE_CLOSE,0.81,0,
1774609038,USTEC.F,LONG,VWAPReversion,23643.5,23634.5,-21.078,0,0,499,FORCE_CLOSE,2.71,0,
1774611818,GOLD.F,LONG,DXYDivergence,4447.77,4451.55,3.365,457.5,-92.5,122,SL_HIT,0.35,13.548,IMPULSE
1774611934,GOLD.F,LONG,PYRAMID,4452.27,4445.77,-6.91,7.5,-632.5,355,SL_HIT,0.35,13.856,IMPULSE
1774615815,GOLD.F,LONG,DXYDivergence,4470.07,4467.07,-3.41,0,-282.5,19,SL_HIT,0.35,7.364,IMPULSE
1774612100,US500.F,SHORT,VWAPReversion,6505.24,6420.62,460.955,0,0,27994,FORCE_CLOSE,0.81,0,
1774612059,USTEC.F,SHORT,VWAPReversion,23670.3,23348,575.172,0,0,28035,FORCE_CLOSE,2.71,0,
1774615834,GOLD.F,LONG,TrendPullback,4467.1,4550.6,3157.42,0,0,24260,FORCE_CLOSE,0.35,0,
1774641679,GOLD.F,LONG,CompressionBreakout,4547.57,4547.77,-3.57,137.5,-52.5,2,SL_HIT,0.35,8.334,COMPRESSION
1774642763,GOLD.F,SHORT,CompressionBreakout,4533.47,4536.47,-57.97,0,-297.5,12,SL_HIT,0.35,5.561,IMPULSE
1774642776,GOLD.F,SHORT,TrendPullback,4536.35,4534.8,75.24,0,0,322,FORCE_CLOSE,0.35,0,
1774643400,GOLD.F,LONG,WickRejection,4535.32,4535.52,-2.52,142.5,-52.5,31,SL_HIT,0.35,6.55,COMPRESSION
